code	mod_code	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
MXD1:e0cfdabf	m	0.0	0.0	0.0	2.0	4.0	5.0
RIOK3:2e2c0ee8	17596	0.0	4.0	1.0	23.0	27.0	8.0
RIOK3:2e2c0ee8	17802	1.0	4.0	3.0	16.0	24.0	13.0
RIOK3:2e2c0ee8	19227	1.0	4.0	6.0	23.0	24.0	8.0
RIOK3:2e2c0ee8	19228	2.0	2.0	0.0	2.0	5.0	1.0
RIOK3:2e2c0ee8	19229	3.0	4.0	6.0	19.0	24.0	15.0
RIOK3:2e2c0ee8	69426	0.0	2.0	1.0	6.0	3.0	2.0
RIOK3:2e2c0ee8	a	3.0	2.0	5.0	53.0	66.0	29.0
RIOK3:2e2c0ee8	m	1.0	1.0	0.0	6.0	7.0	6.0
RIOK3:302fbde1	17596	2.0	0.0	0.0	8.0	14.0	19.0
RIOK3:302fbde1	17802	1.0	0.0	0.0	2.0	9.0	1.0
RIOK3:302fbde1	19227	1.0	0.0	0.0	6.0	14.0	4.0
RIOK3:302fbde1	19228	1.0	0.0	0.0	2.0	1.0	0.0
RIOK3:302fbde1	19229	1.0	0.0	0.0	1.0	6.0	0.0
RIOK3:302fbde1	69426	0.0	0.0	0.0	1.0	2.0	1.0
RIOK3:302fbde1	a	4.0	0.0	0.0	16.0	20.0	12.0
RIOK3:302fbde1	m	0.0	0.0	0.0	5.0	4.0	2.0
RIOK3:3651dc4f	17596	0.0	0.0	0.0	0.0	0.0	0.0
RIOK3:3651dc4f	17802	0.0	0.0	0.0	1.0	4.0	1.0
RIOK3:3651dc4f	19227	0.0	0.0	0.0	1.0	0.0	0.0
RIOK3:3651dc4f	19228	0.0	0.0	0.0	0.0	0.0	1.0
RIOK3:3651dc4f	19229	0.0	0.0	0.0	1.0	1.0	0.0
RIOK3:3651dc4f	69426	0.0	0.0	0.0	0.0	0.0	0.0
RIOK3:3651dc4f	a	0.0	0.0	0.0	2.0	8.0	4.0
RIOK3:3651dc4f	m	0.0	0.0	0.0	1.0	1.0	0.0
RIOK3:36912106	17596	0.0	0.0	0.0	5.0	34.0	25.0
RIOK3:36912106	17802	0.0	0.0	0.0	2.0	12.0	2.0
RIOK3:36912106	19227	0.0	0.0	0.0	6.0	9.0	5.0
RIOK3:36912106	19228	0.0	0.0	0.0	0.0	1.0	0.0
RIOK3:36912106	19229	0.0	0.0	0.0	3.0	7.0	4.0
RIOK3:36912106	69426	0.0	0.0	0.0	1.0	0.0	0.0
RIOK3:36912106	a	0.0	0.0	0.0	19.0	25.0	17.0
RIOK3:36912106	m	0.0	0.0	0.0	5.0	2.0	2.0
RIOK3:5755a979	17596	0.0	0.0	0.0	28.0	5.0	1.0
RIOK3:5755a979	17802	0.0	0.0	0.0	1.0	3.0	1.0
RIOK3:5755a979	19227	0.0	0.0	0.0	5.0	7.0	3.0
RIOK3:5755a979	19228	0.0	0.0	0.0	0.0	1.0	0.0
RIOK3:5755a979	19229	0.0	0.0	0.0	2.0	4.0	1.0
RIOK3:5755a979	69426	0.0	0.0	0.0	0.0	3.0	1.0
RIOK3:5755a979	a	0.0	0.0	0.0	12.0	38.0	7.0
RIOK3:5755a979	m	0.0	0.0	0.0	1.0	2.0	1.0
RIOK3:66323eaa	17596	0.0	0.0	0.0	2.0	2.0	2.0
RIOK3:66323eaa	17802	1.0	0.0	0.0	3.0	7.0	3.0
RIOK3:66323eaa	19227	0.0	1.0	0.0	5.0	10.0	4.0
RIOK3:66323eaa	19228	0.0	0.0	0.0	0.0	1.0	0.0
RIOK3:66323eaa	19229	0.0	0.0	0.0	2.0	2.0	3.0
